2021-05-26 11:36:42.836 dd.py[33] <module> -> Find Control Timeout: {Name: 'WindowsForms10.EDIT.app.0.1ca0192_r20_ad1', ControlType: TextControl}
2021-05-26 11:38:02.243 dd.py[33] <module> -> Find Control Timeout: {ClassName: 'WindowsForms10.EDIT.app.0.1ca0192_r20_ad1', ControlType: TextControl}
2021-05-26 13:28:32.470 dd.py[33] <module> -> Find Control Timeout: {ClassName: 'WindowsForms10.EDIT.app.0.1ca0192_r20_ad1', ControlType: TextControl}
2021-05-26 13:29:13.774 dd.py[33] <module> -> Find Control Timeout: {ClassName: 'textBox_SysEncrypt', ControlType: TextControl}
2021-05-26 13:30:48.851 dd.py[34] <module> -> Find Control Timeout: {Name: 'textBox_SysEncrypt', ControlType: EditControl}
2021-05-26 13:31:06.987 dd.py[34] <module> -> Find Control Timeout: {Name: 'WindowsForms10.EDIT.app.0.1ca0192_r20_ad1', ControlType: EditControl}
2021-05-26 13:31:25.211 dd.py[34] <module> -> Find Control Timeout: {Name: 'sysMIBEncrypt', ControlType: EditControl}
2021-05-26 13:59:54.322 dd.py[32] <module> -> Find Control Timeout: {Name: 'textBox_SysEncrypt', ControlType: TextControl}
2021-05-26 14:05:59.618 dd.py[31] <module> -> Find Control Timeout: {Name: '', ControlType: TextControl}
2021-05-26 14:13:56.971 dd.py[31] <module> -> Find Control Timeout: {Name: 'textBox_RegAvailCode', ControlType: TextControl}
2021-05-26 14:14:16.222 dd.py[31] <module> -> Find Control Timeout: {AutomationId: 'textBox_RegAvailCode', ControlType: TextControl}
2021-05-26 14:15:24.904 dd.py[31] <module> -> Find Control Timeout: {AutomationId: 'textBox_PowerupTrapRecv', ControlType: TextControl}
2021-05-26 16:17:46.548 dd.py[31] <module> -> Find Control Timeout: {AutomationId: 'RegAvailCode', ControlType: TextControl}
2021-05-26 16:19:44.712 dd.py[31] <module> -> Find Control Timeout: {Name: 'RegAvailCode', ControlType: TextControl}
